,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Jim Harbaugh*\jim-harbaugh-1,Michigan,Big Ten,13,180,277,65.0,2729,9.9,8.8,10,11,151.7,94,118,1.3,8
2,Vinny Testaverde\vinny-testaverde-1,Miami (FL),Ind,11,175,276,63.4,2557,9.3,9.7,26,9,165.8,46,-103,-2.2,4
3,Todd Ellis\todd-ellis-1,South Carolina,Ind,11,205,340,60.3,3020,8.9,7.1,20,22,141.4,96,-45,-0.5,3
4,Dave Yarema\dave-yarema-1,Michigan State,Big Ten,11,200,297,67.3,2581,8.7,8.1,16,11,150.7,42,-222,-5.3,0
5,Steve Beuerlein\steve-beuerlein-1,Notre Dame,Ind,11,151,259,58.3,2211,8.5,8.3,13,7,141.2,53,35,0.7,1
6,Lee Saltz\lee-saltz-1,Temple,Ind,11,117,203,57.6,1729,8.5,8.1,12,7,141.8,85,-14,-0.2,2
7,Jeff Francis\jeff-francis-1,Tennessee,SEC,11,150,233,64.4,1946,8.4,8.0,9,6,142.1,38,-91,-2.4,0
8,Kevin Sweeney\kevin-sweeney-1,Fresno State,PCAA,11,160,284,56.3,2363,8.3,8.0,15,9,137.3,111,-186,-1.7,1
9,Ed Blount\ed-blount-1,Washington State,Pac-10,11,117,227,51.5,1882,8.3,7.1,11,11,127.5,119,183,1.5,3
10,Ned James\ned-james-1,New Mexico,WAC,12,125,215,58.1,1777,8.3,7.9,14,8,141.6,150,527,3.5,4
11,Jeff Van Raaphorst*\jeff-van-raaphorst-1,Arizona State,Pac-10,12,160,269,59.5,2181,8.1,7.5,17,11,140.3,44,31,0.7,0
12,Shawn Halloran\shawn-halloran-1,Boston College,Ind,11,159,258,61.6,2090,8.1,8.4,17,6,146.8,44,-40,-0.9,0
13,James Jackson\james-jackson-3,Georgia,SEC,10,100,181,55.2,1475,8.1,7.7,9,6,133.5,108,410,3.8,4
14,Mark Vlasic*\mark-vlasic-1,Iowa,Big Ten,12,108,180,60.0,1456,8.1,8.1,11,5,142.6,18,-116,-6.4,1
15,Cody Carlson\cody-carlson-1,Baylor,SWC,11,157,287,54.7,2284,8.0,6.5,10,14,123.3,107,356,3.3,3
16,Mark Maye\mark-maye-1,North Carolina,ACC,11,110,176,62.5,1401,8.0,7.6,10,6,141.3,57,96,1.7,2
17,Tommy Hodson\tommy-hodson-1,LSU,SEC,11,175,288,60.8,2261,7.9,7.9,19,8,142.9,33,-42,-1.3,0
18,Ron Adams\ron-adams-1,Eastern Michigan,MAC,11,151,251,60.2,1995,7.9,7.9,13,6,139.2,78,50,0.6,0
19,Steve Lindsley\steve-lindsley-1,Brigham Young,WAC,12,180,287,62.7,2247,7.8,5.8,12,18,129.7,99,-90,-0.9,3
20,Jim Karsatos*\jim-karsatos-1,Ohio State,Big Ten,13,145,272,53.3,2122,7.8,7.1,13,10,127.3,47,128,2.7,3
21,Mike Perez*\mike-perez-2,San Jose State,PCAA,12,249,421,59.1,3225,7.7,6.7,17,17,128.7,45,25,0.6,0
22,Sammy Garza\sammy-garza-1,UTEP,WAC,12,258,410,62.9,3140,7.7,6.6,21,19,134.9,93,-138,-1.5,3
23,Danny McCoin\danny-mccoin-1,Cincinnati,Ind,11,237,369,64.2,2831,7.7,7.0,13,11,134.3,70,-246,-3.5,3
24,Dan Henning\dan-henning-2,Maryland,ACC,11,196,353,55.5,2725,7.7,7.2,15,11,128.2,65,-44,-0.7,1
25,Terry Morris*\terry-morris-1,Miami (OH),MAC,12,193,308,62.7,2365,7.7,7.5,19,10,141.0,24,-65,-2.7,0
26,Erik Kramer\erik-kramer-1,North Carolina State,ACC,11,145,277,52.3,2092,7.6,6.0,14,16,120.9,74,79,1.1,5
27,Terrence Jones\terrence-jones-1,Tulane,Ind,11,159,284,56.0,2124,7.5,7.1,10,7,125.5,158,547,3.5,8
28,Jeff Burger\jeff-burger-1,Auburn,SEC,11,126,222,56.8,1671,7.5,6.1,9,11,123.5,26,-98,-3.8,1
29,John Shaffer\john-shaffer-1,Penn State,Ind,11,114,204,55.9,1510,7.4,7.4,9,4,128.7,53,-67,-1.3,3
30,Dave Kramme*\dave-kramme-1,Indiana,Big Ten,12,98,180,54.4,1334,7.4,6.3,6,7,119.9,82,70,0.9,1
31,Todd Santos\todd-santos-1,San Diego State,WAC,11,218,350,62.3,2553,7.3,6.7,14,11,130.5,74,-324,-4.4,1
32,Chris Chandler\chris-chandler-1,Washington,Pac-10,11,160,275,58.2,1994,7.3,6.6,20,13,133.6,58,113,1.9,4
33,Steve Stallworth\steve-stallworth-1,UNLV,PCAA,11,135,256,52.7,1869,7.3,6.5,14,11,123.5,53,-134,-2.5,1
34,Erik Chapman\erik-chapman-1,Virginia Tech,Ind,11,113,222,50.9,1627,7.3,7.0,10,6,121.9,86,-44,-0.5,2
35,Hue Jackson\hue-jackson-1,Pacific,PCAA,11,89,199,44.7,1455,7.3,5.8,10,11,111.7,137,417,3.0,5
36,Larry Egger\larry-egger-1,Utah,WAC,11,232,382,60.7,2761,7.2,7.3,21,9,134.9,46,-136,-3.0,0
37,Bobby Watters\bobby-watters-1,SMU,SWC,11,154,285,54.0,2041,7.2,5.7,13,15,118.7,86,74,0.9,2
38,Kevin Murray\kevin-murray-1,Texas A&M,SWC,11,212,349,60.7,2463,7.1,7.0,17,8,131.5,44,-115,-2.6,1
39,Gregg Tipton\gregg-tipton-1,Hawaii,WAC,12,211,377,56.0,2645,7.0,5.5,11,18,115.0,75,-97,-1.3,1
40,Kelly Stouffer\kelly-stouffer-1,Colorado State,WAC,11,205,374,54.8,2604,7.0,5.7,7,14,112.0,56,-214,-3.8,1
41,Chris Miller\chris-miller-4,Oregon,Pac-10,11,216,356,60.7,2503,7.0,6.1,12,13,123.6,74,46,0.6,2
42,Rodney Peete*\rodney-peete-1,USC,Pac-10,12,160,305,52.5,2138,7.0,5.5,10,15,112.3,103,124,1.2,3
43,John Congemi\john-congemi-1,Pitt,Ind,11,165,293,56.3,2048,7.0,6.8,11,6,123.3,51,-5,-0.1,2
44,Jeff Graham\jeff-graham-1,Long Beach State,PCAA,11,245,426,57.5,2921,6.9,6.0,20,17,122.6,71,-396,-5.6,0
45,Wade Kosakowski\wade-kosakowski-1,Ball State,MAC,11,137,212,64.6,1459,6.9,5.8,6,8,124.2,31,-149,-4.8,1
46,Don Majkowski\don-majkowski-1,Virginia,ACC,9,104,199,52.3,1375,6.9,4.9,7,12,109.8,66,102,1.5,1
47,Bret Stafford\bret-stafford-1,Texas,SWC,11,176,329,53.5,2233,6.8,5.5,12,15,113.4,89,239,2.7,3
48,Alex Espinoza\alex-espinoza-1,Iowa State,Big 8,11,153,299,51.2,2023,6.8,6.3,15,10,117.9,78,-4,-0.1,2
49,Alex Espinoza\alex-espinoza-2,Iowa State,Big 8,11,153,299,51.2,2023,6.8,6.3,15,10,117.9,78,-4,-0.1,2
50,Don McPherson\don-mcpherson-1,Syracuse,Ind,11,142,269,52.8,1827,6.8,6.5,12,7,119.4,191,523,2.7,6
