Player,College,Position,Pos Order,ID,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
Mitchell Trubisky,North Carolina,QB,0,QB14,6.7,74,32,222,9.5,4.67,,27.5,116,6.87,4.25,
Deshaun Watson,Clemson,QB,0,QB15,6.27,74,33,221,9.75,4.66,,32.5,119,6.95,4.31,
Patrick Mahomes,Texas Tech,QB,0,QB10,5.9,74,33.25,225,9.25,4.8,,30,114,6.88,4.08,
DeShone Kizer,Notre Dame,QB,0,QB06,5.88,76,33.125,233,9.875,4.83,,30.5,107,7.4,4.53,
Nathan Peterman,Pittsburgh,QB,0,QB11,5.85,74,32,226,9.875,4.82,,31,110,7.14,4.31,
Brad Kaaya,Miami,QB,0,QB04,5.62,76,32,214,9.75,,,,,,,
Davis Webb,California,QB,0,QB16,5.3,77,33.125,229,9.25,4.79,,33,118,6.92,4.21,
Joshua Dobbs,Tennessee,QB,0,QB02,5.15,75,32.625,216,9.25,4.64,,33,122,6.75,4.31,
Cooper Rush,Central Michigan,QB,0,QB12,5.13,75,32.375,228,9.125,4.93,,27,105,7.23,4.47,
C.J. Beathard,Iowa,QB,0,QB01,5.05,74,30.625,219,9.375,,,31,113,,,
Sefo Liufau,Colorado,QB,0,QB09,4.89,75,33.5,232,10.75,5.08,,27,105,7.32,4.45,
Mitch Leidner,Minnesota,QB,0,QB08,4.85,75,33.75,226,10,4.93,,34.5,123,6.96,4.25,
Trevor Knight,Texas A&M,QB,0,QB07,4.8,73,30.625,219,9.875,4.54,,35.5,125,7.04,4.14,11.28
Jerod Evans,Virginia Tech,QB,0,QB03,,75,33.125,232,9.375,4.8,,26.5,112,,4.41,
Seth Russell,Baylor,QB,0,QB13,,75,32.25,213,9.625,,,,,,,
Leonard Fournette,LSU,RB,1,RB09,7.15,72,31.625,240,9.25,4.51,,28.5,,,,
Dalvin Cook,Florida State,RB,1,RB05,6.54,70,32.375,210,9.25,4.49,22,30.5,116,7.27,4.53,
Alvin Kamara,Tennessee,RB,1,RB16,6.02,70,32.75,214,9.25,4.56,15,39.5,131,,,
Christian McCaffrey,Stanford,RB,1,RB19,5.93,71,30,202,9,4.48,10,37.5,121,6.57,4.22,11.03
D'Onta Foreman,Texas,RB,1,RB08,5.76,72,31.375,233,10.125,,18,,,,,
Samaje Perine,Oklahoma,RB,1,RB23,5.64,71,30.375,233,10,4.65,30,33,116,7.26,4.37,11.71
Jeremy McNichols,Boise State,RB,1,RB21,5.61,69,31.5,214,10,4.49,,35.5,121,6.93,4.28,
Marlon Mack,USF,RB,1,RB18,5.54,71,32,213,9,4.5,15,35.5,125,,,
Kareem Hunt,Toledo,RB,1,RB14,5.52,70,31.375,216,9.625,4.62,18,36.5,119,,,
