Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
1,Peyton Manning,1998,2015,1,TOT,NFL,77,230,27.3,266,265,6125,9380,65.3,71940,539,251,96.5,7.67,270.5,186,79,0,17,14,7,271
2,Tom Brady,2000,2018,6,NWE,NFL,80,225,27.4,253,251,5629,8805,63.93,66159,488,160,97.6,7.51,261.5,196,55,0,19,13,3,255
3,Drew Brees,2001,2018,2,TOT,NFL,72,209,28.3,249,248,6222,9294,66.95,70445,488,228,96.7,7.58,282.9,142,106,0,18,11,1,239
4,Brett Favre*,1991,2010,2,TOT,NFL,74,225,28.9,302,298,6300,10169,61.95,71838,508,336,86,7.06,237.9,186,112,0,20,11,3,255
5,John Elway*,1983,1998,1,DEN,NFL,75,215,26.9,234,231,4123,7250,56.87,51475,300,226,79.9,7.1,220,148,82,1,16,9,0,203
6,Dan Marino*,1983,1999,1,MIA,NFL,76,224,27.3,242,240,4967,8358,59.43,61361,420,252,86.4,7.34,253.6,147,93,0,17,9,3,216
7,Warren Moon*,1984,2000,,TOT,NFL,75,218,27.2,208,203,3988,6823,58.45,49325,291,233,80.9,7.23,237.1,102,101,0,17,9,0,166
8,Joe Montana*,1983,1994,3,TOT,NFL,74,200,25.7,136,131,2696,4261,63.27,32482,221,107,93.4,7.62,238.8,99,32,0,11,7,3,130
9,Philip Rivers,2004,2018,1,SDG,NFL,77,228,27,196,192,4171,6492,64.25,50348,342,166,94.8,7.76,256.9,106,86,0,15,7,0,177
10,Steve Young*,1985,1999,1,TOT,NFL,74,215,27.6,169,143,2667,4149,64.28,33124,232,107,96.8,7.98,196,94,49,0,15,7,3,171
11,Troy Aikman*,1989,2000,1,DAL,NFL,76,219,26.7,165,165,2898,4715,61.46,32942,165,141,81.6,6.99,199.6,94,71,0,12,6,0,122
12,Donovan McNabb,1999,2011,1,TOT,NFL,74,240,30.8,167,161,3170,5374,58.99,37276,234,117,85.6,6.94,223.2,98,62,1,13,6,0,138
13,Aaron Rodgers,2005,2018,1,GNB,NFL,74,225,28.9,149,142,3188,4895,65.13,38502,313,78,103.8,7.87,258.4,94,48,0,14,6,2,157
14,Ben Roethlisberger,2004,2018,1,PIT,NFL,77,240,28.5,200,198,4164,6493,64.13,51065,329,174,94,7.86,255.3,135,63,0,15,6,0,171
15,Jim Kelly*,1986,1996,1,BUF,NFL,75,217,27.1,160,160,2874,4779,60.14,35467,237,175,84.4,7.42,221.7,101,59,0,11,5,1,132
16,Drew Bledsoe,1993,2006,1,TOT,NFL,77,238,28.2,194,193,3839,6717,57.15,44611,251,206,77.1,6.64,230,98,95,0,14,4,0,137
17,Randall Cunningham,1985,2001,2,TOT,NFL,76,212,25.8,161,135,2429,4289,56.63,29979,207,134,81.5,6.99,186.2,82,52,1,16,4,1,134
18,Boomer Esiason,1984,1997,2,TOT,NFL,77,224,26.6,187,173,2969,5205,57.04,37920,247,184,81.1,7.29,202.8,80,93,0,14,4,1,136
19,Rich Gannon,1987,2004,4,TOT,NFL,75,210,26.2,157,132,2533,4206,60.22,28743,180,104,84.7,6.83,183.1,76,56,0,17,4,2,120
20,Jeff Garcia,1999,2009,,TOT,NFL,73,195,25.7,125,116,2264,3676,61.59,25537,161,83,87.5,6.95,204.3,58,58,0,11,4,0,104
21,Eli Manning,2004,2018,1,NYG,NFL,77,220,26.1,216,214,4424,7396,59.82,51682,339,228,83.5,6.99,239.3,111,103,0,15,4,0,150
22,Tony Romo,2004,2016,,DAL,NFL,74,230,29.5,156,127,2829,4335,65.26,34183,248,117,97.1,7.89,219.1,78,49,0,13,4,0,116
23,Matt Ryan,2008,2018,1,ATL,NFL,76,217,26.4,159,159,3651,5636,64.78,42047,260,127,93.1,7.46,264.4,95,64,0,11,4,1,150
24,Michael Vick,2001,2015,1,TOT,NFL,72,215,29.2,143,115,1807,3217,56.17,22464,133,88,80.4,6.98,157.1,61,51,1,13,4,0,113
25,Kurt Warner*,1998,2009,,TOT,NFL,74,220,28.2,124,116,2666,4070,65.5,32344,208,128,93.7,7.95,260.8,67,49,0,12,4,2,113
26,Russell Wilson,2012,2018,3,SEA,NFL,71,215,30,96,96,1815,2834,64.04,22176,161,56,98.8,7.82,231,65,30,1,7,4,0,100
27,Mark Brunell,1994,2011,5,TOT,NFL,73,217,28.6,193,151,2761,4640,59.5,32072,184,108,84,6.91,166.2,78,73,0,17,3,0,120
28,Derek Carr,2014,2018,2,RAI,NFL,75,215,26.9,62,62,1378,2247,61.33,14690,103,44,87.5,6.54,236.9,28,34,0,5,3,0,40
29,Daunte Culpepper,1999,2009,1,TOT,NFL,76,264,32.1,105,100,2016,3199,63.02,24153,149,106,87.8,7.55,230,41,59,0,11,3,0,97
30,Andy Dalton,2011,2018,2,CIN,NFL,74,220,28.2,109,109,2217,3556,62.35,25534,167,93,88.7,7.18,234.3,63,44,2,8,3,0,83
31,Matt Hasselbeck,1999,2015,6,TOT,NFL,76,223,27.1,209,160,3222,5330,60.45,36638,212,153,82.4,6.87,175.3,85,75,0,17,3,0,111
32,Dave Krieg,1983,1998,,TOT,NFL,73,193,25.5,202,170,2992,5119,58.45,36803,252,192,81.5,7.19,182.2,96,74,0,16,3,0,133
33,Andrew Luck,2012,2018,1,CLT,NFL,76,240,29.2,70,70,1570,2651,59.22,19078,132,68,87.3,7.2,272.5,43,27,0,6,3,0,64
34,Steve McNair,1995,2007,1,TOT,NFL,74,235,30.2,161,153,2733,4544,60.15,31304,174,119,82.8,6.89,194.4,91,62,0,13,3,0,126
35,Cam Newton,2011,2018,1,CAR,NFL,77,245,29,109,108,2001,3420,58.51,25074,158,94,85.3,7.33,230,62,45,1,8,3,1,109
36,Carson Palmer,2004,2017,1,TOT,NFL,77,235,27.9,182,181,3941,6307,62.49,46247,294,187,87.9,7.33,254.1,92,88,1,14,3,0,142
37,Alex Smith,2005,2018,1,TOT,NFL,76,213,25.9,156,151,2877,4613,62.37,31888,183,96,87.4,6.91,204.4,88,62,1,13,3,0,112
38,Marc Bulger,2002,2009,6,RAM,NFL,75,215,26.9,96,95,1969,3171,62.09,22814,122,93,84.4,7.19,237.6,41,54,0,8,2,0,64
39,Chris Chandler,1988,2004,3,TOT,NFL,76,224,27.3,180,152,2328,4005,58.13,28484,170,146,79.1,7.11,158.2,67,85,0,17,2,0,102
40,Kerry Collins,1995,2011,1,TOT,NFL,77,248,29.4,198,180,3487,6261,55.69,40922,208,196,73.8,6.54,206.7,81,99,0,17,2,0,111
41,Dan Fouts*,1983,1987,3,SDG,NFL,75,204,25.5,60,57,1244,2071,60.07,15901,92,89,81,7.68,265,26,31,0,5,2,0,47
42,Trent Green,1997,2008,8,TOT,NFL,75,217,27.1,120,113,2266,3740,60.59,28475,162,114,86,7.61,237.3,56,57,0,11,2,0,111
43,Brad Johnson,1994,2008,9,TOT,NFL,77,226,26.8,177,125,2668,4326,61.67,29054,166,122,82.5,6.72,164.1,72,53,0,15,2,0,90
44,Neil Lomax,1983,1988,2,CRD,NFL,75,215,26.9,85,85,1589,2712,58.59,19829,127,74,85.6,7.31,233.3,38,45,2,6,2,0,67
45,Ken O'Brien,1984,1993,1,TOT,NFL,76,210,25.6,129,110,2110,3602,58.58,25094,128,98,80.4,6.97,194.5,50,59,1,10,2,0,86
46,Mark Rypien,1988,2001,6,TOT,NFL,76,231,28.1,104,78,1466,2613,56.1,18473,115,88,78.9,7.07,177.6,47,31,0,11,2,0,62
47,Matt Schaub,2004,2018,2,TOT,NFL,78,245,28.3,145,92,2093,3274,63.93,24867,133,90,89.1,7.6,171.5,47,45,0,14,2,0,79
48,Phil Simms,1983,1993,1,NYG,NFL,75,216,27,129,125,2077,3664,56.69,27367,160,115,81.9,7.47,212.1,81,44,0,11,2,0,100
49,Vinny Testaverde,1987,2007,1,TOT,NFL,77,235,27.9,233,214,3787,6701,56.51,46233,275,267,75,6.9,198.4,90,123,1,21,2,0,142
50,Vince Young,2006,2011,1,TOT,NFL,77,230,27.3,60,50,755,1304,57.9,8964,46,51,74.4,6.87,149.4,31,19,0,6,2,0,36
