Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,Yrs,PB,AP1,AV
1,Warren Moon*,1984,2000,,TOT,NFL,6-3,218,27.2,208,203,3988,6823,58.45,49325,291,233,4.3,3.41,80.9,458,3415,7.23,6.55,5.66,237.1,102,101,0,17,9,0,166
2,Jeff Garcia,1999,2009,,TOT,NFL,6-1,195,25.7,125,116,2264,3676,61.59,25537,161,83,4.4,2.26,87.5,181,947,6.95,6.81,6.24,204.3,58,58,0,11,4,0,104
3,Tony Romo,2004,2016,,DAL,NFL,6-2,230,29.5,156,127,2829,4335,65.26,34183,248,117,5.7,2.7,97.1,248,1672,7.89,7.81,7.03,219.1,78,49,0,13,4,0,116
4,Kurt Warner*,1998,2009,,TOT,NFL,6-2,220,28.2,124,116,2666,4070,65.5,32344,208,128,5.1,3.14,93.7,260,1669,7.95,7.55,6.71,260.8,67,49,0,12,4,2,113
5,Dave Krieg,1983,1998,,TOT,NFL,6-1,193,25.5,202,170,2992,5119,58.45,36803,252,192,4.9,3.75,81.5,466,3586,7.19,6.49,5.3,182.2,96,74,0,16,3,0,133
6,Jake Delhomme,1999,2011,,TOT,NFL,6-2,215,27.6,103,96,1741,2932,59.38,20975,126,101,4.3,3.44,81.3,168,1267,7.15,6.46,5.7,203.6,56,40,0,11,1,0,67
7,Bobby Hebert,1985,1996,,TOT,NFL,6-4,215,26.2,118,100,1839,3121,58.92,21683,135,124,4.3,3.97,78,178,1255,6.95,6.02,5.32,183.8,56,44,0,11,1,0,79
8,David Archer,1984,1989,,TOT,NFL,6-2,207,26.6,55,23,336,661,50.83,4337,18,30,2.7,4.54,61.9,89,642,6.56,5.06,3.61,78.9,9,13,1,6,0,0,14
9,Richard Bartel,2010,2011,,CRD,NFL,6-3,246,30.7,3,0,26,50,52,236,1,2,2,4,55.1,3,18,4.72,3.32,2.79,78.7,0,0,0,2,0,0,0
10,Brett Basanez,2006,2006,,CAR,NFL,6-2,215,27.6,1,0,6,11,54.55,56,0,1,0,9.09,30.9,0,0,5.09,1,1,56,0,0,0,1,0,0,0
11,Brock Berlin,2007,2008,,RAM,NFL,6-1,215,28.4,2,1,18,31,58.06,159,0,1,0,3.23,58.4,0,0,5.13,3.68,3.68,79.5,0,1,0,2,0,0,0
12,Bob Bleier,1987,1987,,NWE,NFL,6-3,210,26.2,3,2,14,39,35.9,181,1,1,2.6,2.56,49.2,3,28,4.64,4,3.05,60.3,1,1,0,1,0,0,1
13,Todd Bouman,2001,2010,,TOT,NFL,6-2,229,29.4,44,7,147,264,55.68,1905,13,13,4.9,4.92,74.4,17,122,7.22,5.98,5.19,43.3,1,6,0,7,0,0,6
14,Trevone Boykin,2016,2016,,SEA,NFL,6-0,213,28.9,5,0,13,18,72.22,145,1,1,5.6,5.56,91.2,1,5,8.06,6.67,6.05,29,,,,1,0,0,0
15,Tyler Bray,2014,2018,,TOT,NFL,6-6,225,26,1,0,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,,,3,0,0,0
16,Adrian Breen,1987,1987,,CIN,NFL,6-4,183,22.3,2,1,3,8,37.5,9,1,0,12.5,0,85.4,3,18,1.13,3.63,1,4.5,0,1,0,1,0,0,0
17,Walter Briggs,1987,1987,,NYJ,NFL,6-1,205,27,1,0,0,2,0,0,0,1,0,50,0,0,0,0,-22.5,-22.5,0,0,0,0,1,0,0,0
18,Dieter Brock,1985,1985,,RAM,NFL,6-0,195,26.4,15,15,218,365,59.73,2658,16,13,4.4,3.56,82,51,351,7.28,6.56,4.91,177.2,11,4,0,1,0,0,9
19,Jeff Brohm,1996,1997,,SFO,NFL,6-1,205,27,8,0,37,58,63.79,353,1,1,1.7,1.72,79.2,7,47,6.09,5.66,4.32,44.1,0,0,0,2,0,0,2
20,Travis Brown,2000,2003,,TOT,NFL,6-3,215,26.9,4,0,29,52,55.77,361,1,3,1.9,5.77,59.9,2,9,6.94,4.73,4.39,90.3,0,0,0,3,0,0,1
21,Henry Burris,2002,2002,,CHI,NFL,6-0,195,26.4,6,1,18,51,35.29,207,3,5,5.9,9.8,28.4,0,0,4.06,0.82,0.82,34.5,0,1,0,1,0,0,1
